x [m] 	y [m]
0.0000	0.0128
-0.0128	0.0128
-0.0256	0.0000
-0.0385	0.0000
-0.0513	0.0000
-0.0641	0.0000
-0.0769	0.0000
-0.0897	0.0000
-0.1026	0.0000
-0.1154	0.0000
-0.1282	0.0000
-0.1410	0.0000
-0.1538	0.0000
-0.1667	0.0000
-0.1795	0.0000
-0.1923	0.0000
-0.2051	0.0000
-0.2179	0.0000
-0.2308	0.0000
-0.2436	0.0000
-0.2564	0.0000
-0.2692	0.0000
-0.2821	0.0000
-0.2949	0.0000
-0.3077	0.0000
-0.3205	0.0000
-0.3333	0.0000
-0.3462	0.0000
-0.3590	0.0000
-0.3718	0.0000
-0.3846	0.0000
-0.3974	0.0000
-0.4103	0.0000
-0.4231	0.0000
-0.4359	0.0000
-0.4487	0.0000
-0.4615	0.0000
-0.4744	0.0000
-0.4872	0.0000
-0.5000	0.0000
-0.5128	0.0000
-0.5256	0.0000
-0.5385	0.0000
-0.5513	0.0000
-0.5641	0.0000
-0.5769	0.0000
-0.5897	0.0000
-0.6026	0.0000
-0.6154	0.0000
-0.6282	0.0000
-0.6410	0.0000
-0.6538	0.0000
-0.6667	0.0000
-0.6795	0.0000
-0.6923	0.0000
-0.7051	0.0000
-0.7179	0.0000
-0.7308	0.0000
-0.7436	0.0000
-0.7564	0.0000
-0.7692	0.0000
-0.7821	0.0000
-0.7949	0.0000
-0.8077	0.0000
-0.8205	0.0000
-0.8333	0.0000
-0.8462	0.0000
-0.8590	0.0000
-0.8718	0.0000
-0.8846	0.0000
-0.8974	0.0000
-0.9103	0.0000
-0.9231	0.0000
-0.9359	0.0000
-0.9487	0.0000
-0.9615	0.0000
-0.9744	0.0000
-0.9872	0.0000
-1.0000	0.0000
-1.0128	0.0000
-1.0256	0.0000
-1.0385	0.0000
-1.0513	0.0000
-1.0641	0.0000
-1.0769	0.0000
-1.0897	0.0000
-1.1026	0.0000
-1.1154	0.0000
-1.1282	0.0000
-1.1410	0.0000
-1.1538	0.0000
-1.1667	0.0000
-1.1795	0.0000
-1.1923	0.0000
-1.2051	0.0000
-1.2179	0.0000
-1.2308	0.0000
-1.2436	0.0000
-1.2564	0.0000
-1.2692	0.0000
-1.2821	0.0000
-1.2949	0.0000
-1.3077	0.0000
-1.3205	0.0000
-1.3333	0.0000
-1.3462	0.0000
-1.3590	0.0000
-1.3718	0.0000
-1.3846	0.0000
-1.3974	0.0000
-1.4103	0.0000
-1.4231	0.0000
-1.4359	0.0000
-1.4487	0.0000
-1.4615	0.0000
-1.4744	0.0000
-1.4872	0.0000
-1.5000	0.0000
-1.5128	0.0000
-1.5256	0.0000
-1.5385	0.0000
-1.5513	0.0000
-1.5641	0.0000
-1.5769	0.0000
-1.5897	0.0000
-1.6026	0.0000
-1.6154	0.0000
-1.6282	0.0000
-1.6410	0.0000
-1.6538	0.0000
-1.6667	0.0000
-1.6795	0.0000
-1.6923	0.0000
-1.7051	0.0000
-1.7179	0.0000
-1.7308	0.0000
-1.7436	0.0000
-1.7564	0.0000
-1.7692	0.0000
-1.7821	0.0000
-1.7949	0.0000
-1.8077	0.0000
-1.8205	0.0000
-1.8333	0.0000
-1.8462	0.0000
-1.8590	0.0000
-1.8718	0.0000
-1.8846	0.0000
-1.8974	0.0000
-1.9103	0.0000
-1.9231	0.0000
-1.9359	0.0000
-1.9487	0.0000
-1.9615	0.0000
